season,lg,team,abbreviation,playoffs,g,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
2025,NBA,Atlanta Hawks,ATL,FALSE,74,241.4,43.2,91.9,0.47,13.3,37.5,0.356,29.9,54.4,0.549,18.1,23.4,0.774,11.9,32.6,44.5,29.5,9.8,5.2,15.6,19.1,117.9
2025,NBA,Boston Celtics,BOS,FALSE,75,241.7,41.7,90.1,0.463,17.9,48.5,0.37,23.7,41.6,0.571,15.6,19.5,0.8,11.1,33.9,45.1,26.1,7.3,5.5,11.8,16.1,116.9
2025,NBA,Brooklyn Nets,BRK,FALSE,76,241.3,37.6,86.2,0.437,13.5,39.4,0.344,24.1,46.8,0.515,16.4,20.8,0.789,11.1,30.3,41.4,25,7.8,4.4,15.1,20.6,105.2
2025,NBA,Chicago Bulls,CHI,FALSE,75,241,43.1,92.2,0.467,15.6,42.5,0.367,27.4,49.7,0.553,15.6,19.4,0.805,9.9,35.5,45.4,29,7.5,4.7,14.6,17.8,117.3
2025,NBA,Charlotte Hornets,CHO,FALSE,75,241,38.5,89.6,0.429,13.2,38.7,0.341,25.3,50.9,0.496,15.4,19.6,0.787,12.4,32.9,45.3,24.5,7.6,4.6,15.4,18.9,105.6
2025,NBA,Cleveland Cavaliers,CLE,FALSE,75,240.3,44.5,90.5,0.492,15.8,41.3,0.384,28.7,49.2,0.583,17.5,22.2,0.785,11,34.2,45.2,28.2,8.2,4.3,13,18.2,122.3
2025,NBA,Dallas Mavericks,DAL,FALSE,76,240.7,42.2,88.3,0.478,12.7,34.6,0.367,29.5,53.6,0.55,17.8,23,0.774,10.2,32.9,43.1,25.3,7.9,5.4,13.7,18,114.9
2025,NBA,Denver Nuggets,DEN,FALSE,75,241.7,45.6,89.9,0.507,12.1,31.9,0.381,33.4,58.1,0.576,17.6,22.9,0.77,11.3,34.3,45.6,31.1,8.1,4.9,14.3,17.7,120.9
2025,NBA,Detroit Pistons,DET,FALSE,75,241.3,42.7,89.6,0.477,12.8,35.1,0.363,29.9,54.5,0.55,17.3,22.3,0.778,11.4,33.7,45.1,26.4,8.1,5.2,15.1,20.7,115.5
2025,NBA,Golden State Warriors,GSW,FALSE,74,240.3,40.9,90.7,0.45,15.3,42.3,0.361,25.6,48.4,0.528,16.4,21.8,0.755,12.6,33,45.6,29.1,9.2,4.9,14,19.3,113.4
2025,NBA,Houston Rockets,HOU,FALSE,76,241.3,42.2,93.3,0.452,12.4,35.6,0.349,29.8,57.7,0.516,17.1,23.1,0.742,14.8,33.9,48.6,23.1,8.5,5,13.9,19.1,114
2025,NBA,Indiana Pacers,IND,FALSE,75,241.7,43.5,88.8,0.491,13.2,35.6,0.372,30.3,53.2,0.57,16.8,21.1,0.794,8.9,32.4,41.3,29.3,8.4,5.1,13.5,18.8,117.1
2025,NBA,Los Angeles Clippers,LAC,FALSE,75,241.3,41.2,86.2,0.477,12.4,33.7,0.368,28.8,52.5,0.548,17.4,21.9,0.796,10.4,33.6,43.9,25,9.5,4.7,15.1,18.5,112.2
2025,NBA,Los Angeles Lakers,LAL,FALSE,75,240.7,40.9,85.6,0.478,13,36.2,0.361,27.9,49.5,0.563,18.2,23.2,0.787,9.6,33,42.6,26.2,7.7,4.6,13.9,17.2,113.1
2025,NBA,Memphis Grizzlies,MEM,FALSE,75,240.3,44.9,93.4,0.48,13.8,37.6,0.367,31.1,55.8,0.557,18.4,23.5,0.785,12.9,34.3,47.2,28.8,8.9,5.8,15.8,21,121.9
2025,NBA,Miami Heat,MIA,FALSE,75,243,40,86.3,0.463,13.6,37.4,0.365,26.3,48.9,0.538,16.1,20.3,0.79,9.5,33.6,43.1,26.3,8.1,3.8,13.9,15.6,109.6
2025,NBA,Milwaukee Bucks,MIL,FALSE,74,240.3,41.6,86.4,0.481,14,36.8,0.382,27.6,49.6,0.556,17.2,22.9,0.751,8.4,35.2,43.5,25.1,7.3,4.6,13.5,18.1,114.5
2025,NBA,Minnesota Timberwolves,MIN,FALSE,75,241.3,40.7,87.5,0.466,15.1,39.8,0.38,25.6,47.7,0.537,17.2,21.8,0.792,10.9,33.1,44.1,26.1,8.2,4.9,14.5,18.1,113.8
2025,NBA,New Orleans Pelicans,NOP,FALSE,75,241,40.7,89.9,0.453,12.1,34.6,0.35,28.6,55.3,0.517,16.7,22,0.757,12.2,31.4,43.6,25.7,8.6,5.4,14.6,18.2,110.2
2025,NBA,New York Knicks,NYK,FALSE,74,242.4,43.6,89.4,0.488,12.5,34,0.369,31.1,55.4,0.561,16.6,20.7,0.801,10.8,32.1,42.9,27.5,8.1,4,13.1,17,116.4
2025,NBA,Oklahoma City Thunder,OKC,FALSE,75,240.3,44.6,92.5,0.482,14.6,38.8,0.376,30,53.7,0.558,16.7,20.4,0.821,10.6,34.3,44.9,27,10.4,5.7,11.9,19.9,120.4
2025,NBA,Orlando Magic,ORL,FALSE,76,240.7,37.9,85.7,0.442,11,35.1,0.312,26.9,50.6,0.532,18.1,23.4,0.773,11.1,30.6,41.8,22.8,8.8,5.9,14.2,20.5,104.9
2025,NBA,Philadelphia 76ers,PHI,FALSE,75,241.7,39.7,87.2,0.455,12.8,37,0.345,26.9,50.1,0.537,17.6,22.5,0.783,10.1,29.2,39.4,23.1,9.3,4.4,13.5,19,109.8
2025,NBA,Phoenix Suns,PHO,FALSE,75,242,41.3,85.9,0.48,14.4,37.6,0.383,26.9,48.3,0.556,17.3,21.3,0.811,9.3,33.5,42.8,28,7.1,4.9,14.1,18.1,114.3
2025,NBA,Portland Trail Blazers,POR,FALSE,75,241,40.4,89.6,0.451,13,37.6,0.346,27.4,52,0.526,16.9,22.1,0.765,13,31.1,44.2,23.7,8.1,5.3,15.9,19,110.7
2025,NBA,Sacramento Kings,SAC,FALSE,75,242.7,43,90.1,0.477,12.5,35.3,0.355,30.5,54.8,0.556,17.2,21.3,0.804,10.9,33.3,44.2,26.6,7.7,4.5,13.5,19,115.8
2025,NBA,San Antonio Spurs,SAS,FALSE,74,240.7,41.8,89.9,0.465,14.1,39.6,0.355,27.7,50.3,0.551,16.4,21.2,0.774,11.1,32.6,43.7,28.9,8.3,5.7,13.8,16.7,114.2
2025,NBA,Toronto Raptors,TOR,FALSE,75,241.7,41.4,90.4,0.458,11.6,33.4,0.347,29.8,57.1,0.523,16.3,21.7,0.75,12.5,32.7,45.3,28.4,7.9,4.4,15.5,21.3,110.7
2025,NBA,Utah Jazz,UTA,FALSE,76,241.3,40.2,88.1,0.456,13.8,39.3,0.352,26.3,48.8,0.54,17.4,22.5,0.772,11.9,33.5,45.4,25.6,6.7,4.4,17.4,18.9,111.5
2025,NBA,Washington Wizards,WAS,FALSE,75,240.7,39.5,90.1,0.439,13.2,39.2,0.335,26.4,50.9,0.518,16.4,21,0.779,10.7,33.2,43.9,25.3,7.8,5.2,15.7,19.8,108.6
2025,NBA,League Average,NA,FALSE,75,241.2,41.6,89.2,0.467,13.5,37.5,0.36,28.1,51.6,0.544,17,21.8,0.781,11.1,33,44.1,26.5,8.2,4.9,14.3,18.7,113.8
